boat,phrf,loa
11 Metre One Design,81,33.70
30 Meter,147,30.00
A Le Comte 35,162,35.00
A Le Comte 46,126,45.60
A Le Comte 52,84,52.00
Abbott 28,198,28.00
Abbott 33,129,33.30
Able Pointin 24,,24.00
Accent 26,231,26.30
Aegean 234,234,21.70
Aero 24,240,24.00
Aerodyne 38,27,37.70
Alajuela 38,222,38.00
Albatross 23,276,23.00
Alberg 30,222,30.00
Alberg 35 Sloop,207,35.00
Alberg 35 Yawl,198,35.00
Alberg 37,162,37.00
Albin 7.9,210,26.00
Albin Ballad Half Ton,180,30.00
Albin Cumulus,195,28.10
Albin Express,174,25.50
Albin Nimbus 42,96,42.00
Albin Stratus 36,153,35.20
Albin Vega 27,192,27.00
Alden 32 Ketch,288,32.00
Alden 32 Sloop,270,32.00
Alden 44 Tall Mast,114,44.20
Alden 48 Centerboard,102,48.80
Alden 50,141,50.00
Alden 50 Centerboard,108,50.30
Alden 52 Cutter,48,52.80
Alden 54 CB,48,54.00
Alden Challenger,171,38.40
Alden Malabar,180,38.00
Alden One Design,192,37.80
Alden Skye,69,53.40
Alerion 26,234,26.00
Alerion 26,207,25.30
Alerion 28,168,28.00
Alerion 28-2,165,28.00
Alerion 33 Express,120,33.00
Alerion 38 ODR,138,38.00
Alerion 38 Y,126,38.40
Alerion 38-2,120,38.20
Alerion 41,99,40.50
Alerion Cat,228,19.20
Allied Chance 30-30,171,30.00
Allied Mistress,216,39.00
Allied Princess,204,36.00
Allied Seabreeze 35 CB,198,35.00
Allied Seawind 32 MK II,234,31.70
Allied SW-30,252,30.00
Allied XL2,168,42.00
Allmand 31,177,30.80
Aloha 10.4,162,34.00
Aloha 28,192,28.00
Aloha 32,177,32.40
American Marine 26,282,26.00
AMF 2100,207,21.00
Amphibian 30,126,29.80
Andrews 26 IB,144,25.60
Andrews 28 Inboard,90,28.00
Antrim 27 IB,93,27.80
Antrim 27 OB,87,27.80
Aphrodite 101,132,33.00
Apogee 50,60,51.00
Aquarius 23,244,23.00
Aquarius 23 Swing Keel,238,23.00
Archambault 40,39,39.20
Arrow 24,240,24.00
Atalanta 26,252,26.00
Atlantic 50,9,50.00
Atlantic City Cat 24,282,24.00
Atlantic One Design,153,30.00
Aurora 40 Centerboard,132,40.00
Avance 36,132,35.40
Azzura 310,51,30.80
B 25,141,25.00
B 32 IB,78,32.00
B 32 OB,75,32.00
Baba 30,222,29.50
Balboa 26,216,26.00
Baltic 35,117,34.00
Baltic 35 Tall Mast,111,34.00
Baltic 37,120,37.00
Baltic 38 DP CB,105,38.20
Baltic 38DP,99,38.10
Baltic 39,105,38.80
Baltic 39 Centerboard,111,38.80
Baltic 40,84,39.40
Baltic 42,84,42.40
Baltic 42DP Short Rig,78,41.90
Baltic 42DP TM,75,41.90
Baltic 43,66,43.30
Baltic 43 TM,63,43.30
Baltic 46,81,46.00
Baltic 48DP,42,48.00
Baltic 50,-30,50.00
Baltic 51 Centerboard,57,50.90
Baltic 52,-24,52.00
Baltic 75 Centerboard,-12,75.60
"Baltic Mod 42 ""Stampede""",75,42.40
"Baltic Mod 43 ""Whydah""",60,43.30
Bavaria 32,156,33.90
Bavaria 33,141,34.30
Bavaria 36,132,37.80
Bavaria 37,123,37.00
Bavaria 40,111,41.00
Bavaria 42,99,42.48
Bavaria 44 SD,105,45.50
Bavaria 49 TM,39,49.00
Bavaria 960,177,32.00
Bavaria Match 38,54,37.40
Bayfield 36 C,201,41.00
Bayfield 43 K,192,45.50
Beadon 30,108,30.00
