boat,phrf,loa,displacement
11 Metre One Design,81,33.70,3600
30 Meter,147,30.00,
A Le Comte 35,162,35.00,12000
A Le Comte 46,126,45.60,25000
A Le Comte 52,84,52.00,44000
Abbott 28,198,28.00,
Abbott 33,129,33.30,6300
Able Pointin 24,,24.00,
Accent 26,231,26.30,5280
Aegean 234,234,21.70,2680
Aero 24,240,24.00,
Aerodyne 38,27,37.70,11250
Alajuela 38,222,38.00,27000
Albatross 23,276,23.00,2600
Alberg 30,222,30.00,9000
Alberg 35 Sloop,207,35.00,12800
Alberg 35 Yawl,198,35.00,12800
Alberg 37,162,37.00,16800
Albin 7.9,210,26.00,4200
Albin Ballad Half Ton,180,30.00,7276
Albin Cumulus,195,28.10,7055
Albin Express,174,25.50,3968
Albin Nimbus 42,96,42.00,21500
Albin Stratus 36,153,35.20,11466
Albin Vega 27,192,27.00,5070
Alden 32 Ketch,288,32.00,
Alden 32 Sloop,270,32.00,
Alden 44 Tall Mast,114,44.20,26471
Alden 48 Centerboard,102,48.80,32000
Alden 50,141,50.00,33000
Alden 50 Centerboard,108,50.30,32000
Alden 52 Cutter,48,52.80,43400
Alden 54 CB,48,54.00,40000
Alden Challenger,171,38.40,16200
Alden Malabar,180,38.00,
Alden One Design,192,37.80,6525
Alden Skye,69,53.40,57000
Alerion 26,234,26.00,6000
Alerion 26,207,25.30,4800
Alerion 28,168,28.00,4400
Alerion 28-2,165,28.00,5700
Alerion 33 Express,120,33.00,8700
Alerion 38 ODR,138,38.00,12400
Alerion 38 Y,126,38.40,12400
Alerion 38-2,120,38.20,13500
Alerion 41,99,40.50,16000
Alerion Cat,228,19.20,1750
Allied Chance 30-30,171,30.00,11200
Allied Mistress,216,39.00,20800
Allied Princess,204,36.00,14400
Allied Seabreeze 35 CB,198,35.00,14900
Allied Seawind 32 MK II,234,31.70,14900
Allied SW-30,252,30.00,12080
Allied XL2,168,42.00,19700
Allmand 31,177,30.80,12000
Aloha 10.4,162,34.00,13600
Aloha 28,192,28.00,6750
Aloha 32,177,32.40,9800
American Marine 26,282,26.00,4500
AMF 2100,207,21.00,2200
Amphibian 30,126,29.80,6500
Andrews 26 IB,144,25.60,4000
Andrews 28 Inboard,90,28.00,4160
Antrim 27 IB,93,27.80,2900
Antrim 27 OB,87,27.80,2600
Aphrodite 101,132,33.00,6160
Apogee 50,60,51.00,33144
Aquarius 23,244,23.00,2280
Aquarius 23 Swing Keel,238,23.00,
Archambault 40,39,39.20,15972
Arrow 24,240,24.00,
Atalanta 26,252,26.00,4000
Atlantic 50,9,50.00,11500
Atlantic City Cat 24,282,24.00,8000
Atlantic One Design,153,30.00,5000
Aurora 40 Centerboard,132,40.00,20000
Avance 36,132,35.40,11000
Azzura 310,51,30.80,4750
B 25,141,25.00,2000
B 32 IB,78,32.00,3800
B 32 OB,75,32.00,3800
Baba 30,222,29.50,12500
Balboa 26,216,26.00,3600
Baltic 35,117,34.00,10500
Baltic 35 Tall Mast,111,34.00,10500
Baltic 37,120,37.00,13900
Baltic 38 DP CB,105,38.20,14300
Baltic 38DP,99,38.10,14330
Baltic 39,105,38.80,19000
Baltic 39 Centerboard,111,38.80,19000
Baltic 40,84,39.40,14992
Baltic 42,84,42.40,21500
Baltic 42DP Short Rig,78,41.90,18400
Baltic 42DP TM,75,41.90,18400
Baltic 43,66,43.30,19750
Baltic 43 TM,63,43.30,24000
Baltic 46,81,46.00,25367
Baltic 48DP,42,48.00,28869
Baltic 50,-30,50.00,21400
Baltic 51 Centerboard,57,50.90,36000
Baltic 52,-24,52.00,43000
Baltic 75 Centerboard,-12,75.60,110000
"Baltic Mod 42 ""Stampede""",75,42.40,21000
"Baltic Mod 43 ""Whydah""",60,43.30,22750
Bavaria 32,156,33.90,8598
Bavaria 33,141,34.30,11900
Bavaria 36,132,37.80,12100
Bavaria 37,123,37.00,24500
Bavaria 40,111,41.00,18298
Bavaria 42,99,42.48,18370
Bavaria 44 SD,105,45.50,21164
Bavaria 49 TM,39,49.00,24500
Bavaria 960,177,32.00,8500
Bavaria Match 38,54,37.40,13200
Bayfield 36 C,201,41.00,18500
Bayfield 43 K,192,45.50,21000
Beadon 30,108,30.00,2800
Beneteau 10R,87,33.00,9715
Beneteau 1150 Idyl,153,36.00,14440
Beneteau 1350 Idyl.,126,42.30,22046
Beneteau 210,195,21.00,2200
Beneteau 235,201,21.70,2800
Beneteau 235 W OB,207,23.30,2310
Beneteau 25 PLATU,120,24.60,2755
Beneteau 26,198,26.00,4900
Beneteau 26.5,189,26.50,4800
Beneteau 285 W,192,28.20,6160
Beneteau 29,171,28.70,7014
Beneteau 30 R/C,171,29.60,7600
Beneteau 305,168,30.40,8242
Beneteau 30E,168,32.00,7100
Beneteau 31,135,31.80,7100
Beneteau 310,150,31.00,7054
Beneteau 310 W,162,31.00,7054
Beneteau 311 SD,162,32.25,7716
Beneteau 32 FR,135,32.50,8390
Beneteau 32 MH,141,32.80,8390
Beneteau 325 TM,141,32.40,9680
Beneteau 33.7,126,32.70,10582
Beneteau 33.7 DK,120,32.60,10582
Beneteau 343,162,34.50,10141
Beneteau 343 Shoal Draft,162,35.50,11861
Beneteau 345 Shoal Draft TM,132,36.00,12651
Beneteau 345 TM,123,36.00,10141
Beneteau 35,126,35.00,10450
Beneteau 35s5,129,35.00,12000
Beneteau 35s5 W,132,35.00,12000
Beneteau 35s7,120,35.60,11660
Beneteau 36.7,81,36.00,11552
Beneteau 36.7 Shoal Draft,90,36.00,11552
Beneteau 36s7,111,35.80,11700
Beneteau 37,105,37.70,14000
Beneteau 375,123,37.10,17000
Beneteau 38,108,38.50,15652
Beneteau 38 TM DK,96,40.20,15655
Beneteau 38S5,114,38.20,14520
Beneteau 393 Oceanis,144,39.30,17152
